file,residues,atoms,bonds,fragments
pair_257_B.pdb,15,115,125,1
pair_258_B.pdb,19,142,146,1
pair_259_B.pdb,18,144,149,1
pair_260_B.pdb,11,89,90,1
pair_261_B.pdb,15,112,116,1
pair_262_B.pdb,19,142,146,1
pair_263_B.pdb,19,142,146,1
pair_264_B.pdb,10,83,82,1
pair_265_B.pdb,11,89,90,1
pair_266_B.pdb,24,195,198,1
pair_267_B.pdb,15,115,125,1
pair_268_B.pdb,10,83,82,1
pair_269_B.pdb,10,83,82,1
pair_270_B.pdb,19,147,157,1
pair_271_B.pdb,8,59,59,1
pair_272_B.pdb,15,121,121,1
pair_273_B.pdb,13,91,96,1
pair_274_B.pdb,19,147,160,1
pair_275_B.pdb,19,147,157,1
pair_276_B.pdb,13,104,104,1
pair_277_B.pdb,11,86,85,1
pair_278_B.pdb,17,129,131,1
pair_279_B.pdb,9,75,77,1
pair_280_B.pdb,13,104,104,1
pair_281_B.pdb,13,104,104,1
pair_282_B.pdb,10,76,75,1
pair_283_B.pdb,15,113,115,1
pair_284_B.pdb,6,46,48,1
pair_285_B.pdb,15,124,127,1
pair_286_B.pdb,10,76,75,1
pair_287_B.pdb,10,76,75,1
pair_288_B.pdb,24,195,198,1
pair_289_B.pdb,13,104,104,1
pair_290_B.pdb,11,86,85,1
pair_291_B.pdb,11,69,73,1
pair_292_B.pdb,24,195,198,1
pair_293_B.pdb,24,195,198,1
pair_294_B.pdb,8,61,62,1
pair_295_B.pdb,12,102,105,1
pair_296_B.pdb,8,59,59,1
pair_297_B.pdb,15,113,115,1
pair_298_B.pdb,8,61,62,1
pair_299_B.pdb,8,61,62,1
pair_300_B.pdb,9,75,76,1
pair_301_B.pdb,15,119,124,1
pair_302_B.pdb,12,106,110,1
pair_303_B.pdb,5,38,37,1
pair_304_B.pdb,9,75,76,1
pair_305_B.pdb,9,75,76,1
pair_306_B.pdb,15,124,127,1
pair_307_B.pdb,9,65,66,1
pair_308_B.pdb,10,76,75,1
pair_309_B.pdb,24,195,198,1
pair_310_B.pdb,15,124,127,1
pair_311_B.pdb,15,124,127,1
pair_312_B.pdb,16,130,133,1
pair_313_B.pdb,19,142,146,1
pair_314_B.pdb,24,195,201,1
pair_315_B.pdb,15,112,115,1
pair_316_B.pdb,16,130,142,1
pair_317_B.pdb,16,130,135,1
pair_318_B.pdb,15,113,115,1
pair_319_B.pdb,12,106,110,1
pair_320_B.pdb,18,145,145,1
pair_321_B.pdb,9,65,66,1
pair_322_B.pdb,15,113,115,1
pair_323_B.pdb,15,113,116,1
pair_324_B.pdb,8,59,59,1
pair_325_B.pdb,24,195,198,1
pair_326_B.pdb,18,145,145,1
pair_327_B.pdb,23,191,192,1
pair_328_B.pdb,8,59,59,1
pair_329_B.pdb,8,59,59,1
pair_330_B.pdb,24,196,200,1
pair_331_B.pdb,9,75,76,1
pair_332_B.pdb,15,115,125,1
pair_333_B.pdb,10,83,82,1
pair_334_B.pdb,24,196,203,1
pair_335_B.pdb,24,196,208,1
pair_336_B.pdb,15,128,129,1
pair_337_B.pdb,10,77,81,1
pair_338_B.pdb,17,129,131,1
pair_339_B.pdb,15,127,130,1
pair_340_B.pdb,15,128,129,1
pair_341_B.pdb,15,128,129,1
pair_342_B.pdb,11,89,90,1
pair_343_B.pdb,6,49,48,1
pair_344_B.pdb,19,147,157,1
pair_345_B.pdb,6,55,56,1
pair_346_B.pdb,11,89,90,1
pair_347_B.pdb,11,89,95,1
pair_348_B.pdb,9,75,77,1
pair_349_B.pdb,11,89,90,1
pair_350_B.pdb,10,83,83,1
pair_351_B.pdb,14,110,110,1
pair_352_B.pdb,9,75,77,1
pair_353_B.pdb,9,75,77,1
